user_id;rec_stories
102390;[7026042, 11723179, 7124111, 4583618, 6541079]
4767346;[7026042, 11723179, 7124111, 4583618, 6541079]
5695337;[7026042, 11723179, 7124111, 4583618, 6541079]
5778823;[7026042, 11723179, 7124111, 4583618, 6541079]
6861153;[7026042, 11723179, 7124111, 4583618, 6541079]
8816804;[7026042, 11723179, 7124111, 4583618, 6541079]
1568093;[7026042, 11723179, 7124111, 4583618, 6541079]
1656852;[7026042, 11723179, 7124111, 4583618, 6541079]
1912243;[7026042, 11723179, 7124111, 4583618, 6541079]
1945346;[7026042, 11723179, 7124111, 4583618, 6541079]
2165651;[7026042, 11723179, 7124111, 4583618, 6541079]
2216419;[7026042, 11723179, 7124111, 4583618, 6541079]
2699311;[7026042, 11723179, 7124111, 4583618, 6541079]
2938253;[11723179, 7026042, 7124111, 6541079, 11264162]
3446643;[7026042, 11723179, 7124111, 4583618, 6541079]
4019838;[11723179, 7026042, 7124111, 6541079, 11264162]
102390;[7026042, 11723179, 7124111, 4583618, 6541079]
4677085;[11723179, 7026042, 10610076, 5276974, 7124111]
4724487;[11723179, 7026042, 7124111, 4583618, 6541079]
4728832;[11723179, 10610076, 7026042, 5276974, 7124111]
5031561;[7026042, 11723179, 7124111, 4583618, 6541079]
5046181;[11723179, 7026042, 7124111, 4583618, 6541079]
5682116;[11723179, 7026042, 7124111, 6541079, 11264162]
5746815;[11723179, 7026042, 7124111, 6541079, 4583618]
6069390;[11723179, 7026042, 7124111, 6541079, 11264162]
6159354;[11723179, 7026042, 7124111, 4583618, 6541079]
6717323;[7026042, 11723179, 7124111, 4583618, 6541079]
8169752;[7026042, 11723179, 7124111, 4583618, 6541079]
8351371;[11723179, 7026042, 10610076, 5276974, 7124111]
788336;[11723179, 7026042, 7124111, 4583618, 6541079]
1654723;[11723179, 7026042, 7124111, 4583618, 11264162]
1730150;[11723179, 7026042, 7124111, 4583618, 6541079]
1757105;[7026042, 11723179, 7124111, 4583618, 6541079]
2619159;[7026042, 11723179, 7124111, 4583618, 6541079]
4000634;[11723179, 7026042, 7124111, 11264162, 6541079]
6951976;[7026042, 11723179, 7124111, 4583618, 6541079]
573249;[7026042, 11723179, 7124111, 4583618, 6541079]
1899359;[7026042, 11723179, 7124111, 4583618, 6541079]
4337657;[11723179, 7026042, 7124111, 6541079, 4583618]
102390;[7026042, 11723179, 7124111, 4583618, 6541079]
134545;[7026042, 11723179, 7124111, 4583618, 6541079]
4534898;[7026042, 11723179, 7124111, 4583618, 6541079]
5260429;[7026042, 11723179, 7124111, 4583618, 6541079]
5342079;[11723179, 7026042, 7124111, 6541079, 11264162]
5537142;[7026042, 11723179, 7124111, 4583618, 6541079]
6062052;[7026042, 11723179, 7124111, 4583618, 6541079]
6159354;[7026042, 11723179, 7124111, 4583618, 6541079]
6345170;[7026042, 11723179, 7124111, 4583618, 6541079]
6626981;[7026042, 11723179, 7124111, 4583618, 6541079]
6852914;[7026042, 11723179, 7124111, 4583618, 6541079]
6855546;[7026042, 11723179, 7124111, 4583618, 6541079]
7521550;[7026042, 11723179, 7124111, 4583618, 6541079]
7616911;[11723179, 7026042, 7124111, 6541079, 11264162]
7651263;[11723179, 7026042, 7124111, 6541079, 11264162]
8154465;[7026042, 11723179, 7124111, 4583618, 6541079]
8499112;[11723179, 7026042, 7124111, 6541079, 11264162]
8662366;[7026042, 11723179, 7124111, 4583618, 6541079]
531920;[11723179, 7026042, 7124111, 6541079, 11264162]
797895;[11723179, 7026042, 7124111, 6541079, 11264162]
841104;[11723179, 7026042, 7124111, 6541079, 4583618]
967713;[11723179, 7026042, 7124111, 6541079, 11264162]
1009447;[11723179, 7026042, 7124111, 10610076, 11264162]
1654723;[7026042, 11723179, 7124111, 4583618, 6541079]
1663463;[11723179, 7026042, 7124111, 6541079, 11264162]
1786009;[7026042, 11723179, 7124111, 4583618, 6541079]
2163663;[7026042, 11723179, 7124111, 4583618, 6541079]
2349486;[7026042, 11723179, 7124111, 4583618, 6541079]
2777454;[11723179, 7026042, 7124111, 6541079, 11264162]
3102161;[7026042, 11723179, 7124111, 4583618, 6541079]
3306332;[11723179, 7026042, 7124111, 4583618, 6541079]
