user_id;rec_stories
102390;[10610076, 3157478, 10322302, 7899682, 4586362]
4767346;[10610076, 3157478, 7899682, 10322302, 6466185]
5695337;[6772394, 8837107, 9424669, 9832027, 8612305]
5778823;[6821850, 6772394, 8837107, 4293510, 8612305]
6861153;[6772394, 8837107, 4293510, 9832027, 8612305]
8816804;[10610076, 10322302, 3157478, 4586362, 6772394]
1568093;[5716145, 7965930, 6821850, 6550419, 6989390]
1656852;[6772394, 8837107, 6821850, 4293510, 8612305]
1912243;[10610076, 3157478, 10322302, 7899682, 9281148]
1945346;[6821850, 7965930, 5716145, 5882420, 6989390]
2165651;[10610076, 3157478, 5453054, 8914586, 5077573]
2216419;[8914586, 9704180, 11446957, 5403795, 9424669]
2699311;[6821850, 7965930, 5716145, 6550419, 5882420]
2938253;[10610076, 3157478, 7899682, 9281148, 10322302]
3446643;[10610076, 3157478, 7899682, 10322302, 6466185]
4019838;[10610076, 8914586, 11671069, 3157478, 6174426]
102390;[6772394, 8837107, 10322302, 9832027, 4586362]
4677085;[10610076, 3157478, 7899682, 5453054, 3401052]
4724487;[10610076, 3157478, 11671069, 8914586, 5077573]
4728832;[10610076, 3157478, 5453054, 7899682, 5077573]
5031561;[6821850, 7965930, 5882420, 2505033, 8837107]
5046181;[8914586, 7017751, 11446957, 5403795, 9704180]
5682116;[10610076, 8914586, 3157478, 5077573, 11671069]
5746815;[10610076, 8914586, 11671069, 5077573, 6174426]
6069390;[10610076, 3157478, 8914586, 5077573, 11671069]
6159354;[10610076, 3157478, 7899682, 10322302, 9281148]
6717323;[6821850, 7965930, 6772394, 8837107, 6145729]
8169752;[6821850, 7965930, 6772394, 8837107, 6145729]
8351371;[10610076, 8914586, 11671069, 3157478, 5077573]
788336;[10610076, 3157478, 5453054, 5077573, 6466185]
1654723;[10610076, 3157478, 11671069, 8914586, 5721324]
1730150;[10610076, 3157478, 6466185, 4586362, 10322302]
1757105;[5716145, 6550419, 4946293, 7965930, 6821850]
2619159;[6821850, 7965930, 8837107, 6772394, 4293510]
4000634;[8914586, 10610076, 5077573, 5403795, 9424669]
6951976;[10610076, 10322302, 3157478, 5721324, 6772394]
573249;[10610076, 3157478, 10322302, 9281148, 11671069]
1899359;[10610076, 3157478, 11671069, 7899682, 5721324]
4337657;[10610076, 3157478, 7899682, 9281148, 10322302]
102390;[7965930, 5716145, 6821850, 6989390, 6550419]
134545;[10610076, 3157478, 7899682, 6466185, 5453054]
4534898;[10610076, 3157478, 7899682, 5453054, 9281148]
5260429;[8914586, 9704180, 5403795, 11446957, 11574569]
5342079;[10610076, 3157478, 7899682, 10322302, 6466185]
5537142;[10610076, 3157478, 7899682, 9281148, 10322302]
6062052;[6772394, 8837107, 10322302, 4293510, 4586362]
6159354;[10610076, 3157478, 7899682, 9281148, 11671069]
6345170;[6772394, 10322302, 10610076, 8837107, 5721324]
6626981;[10610076, 3157478, 11671069, 5453054, 7899682]
6852914;[6821850, 6772394, 8837107, 4293510, 8612305]
6855546;[10610076, 11671069, 3157478, 9281148, 8914586]
7521550;[5716145, 7965930, 6821850, 6550419, 4946293]
7616911;[10610076, 3157478, 7899682, 5453054, 9281148]
7651263;[10610076, 3157478, 8914586, 5453054, 5077573]
8154465;[9704180, 8914586, 11446957, 5403795, 11574569]
8499112;[10610076, 3157478, 7899682, 9281148, 3401052]
8662366;[10610076, 3157478, 8914586, 11671069, 5077573]
531920;[10610076, 3157478, 7899682, 3401052, 5453054]
797895;[10610076, 3157478, 5453054, 3401052, 7899682]
841104;[10610076, 3157478, 7899682, 6466185, 3401052]
967713;[10610076, 3157478, 7899682, 5453054, 11671069]
1009447;[10610076, 3157478, 7899682, 5453054, 9281148]
1654723;[10610076, 3157478, 10322302, 7899682, 5721324]
1663463;[8914586, 5403795, 9704180, 5077573, 7017751]
1786009;[10610076, 3157478, 5721324, 10322302, 11671069]
2163663;[10610076, 3157478, 7899682, 9281148, 10322302]
2349486;[8837107, 6772394, 6821850, 4293510, 8612305]
2777454;[4946293, 6989390, 6821850, 9704180, 5716145]
3102161;[10610076, 3157478, 7899682, 10322302, 6466185]
3306332;[10610076, 3157478, 7899682, 11671069, 5453054]
3789603;[8914586, 11446957, 9704180, 5403795, 7017751]
4112334;[8914586, 9704180, 5403795, 11574569, 11446957]
4143778;[10610076, 3157478, 11671069, 7899682, 9281148]
4198562;[10610076, 3157478, 7899682, 10322302, 6466185]
102390;[6772394, 8837107, 10610076, 4586362, 9832027]
10907;[10610076, 3157478, 8914586, 11671069, 5077573]
134545;[6821850, 7965930, 5882420, 5716145, 6145729]
53836;[10610076, 3157478, 3401052, 5453054, 6466185]
4628268;[10610076, 3157478, 5453054, 7899682, 11671069]
4644898;[10610076, 3157478, 5453054, 7899682, 3401052]
4717091;[5716145, 7965930, 6821850, 6550419, 4946293]
4730707;[10610076, 3157478, 7899682, 10322302, 9281148]
4878013;[5716145, 7965930, 6821850, 6989390, 6550419]
5473971;[10610076, 11671069, 5721324, 9424669, 8914586]
6407232;[10610076, 3157478, 7899682, 10322302, 5453054]
6546201;[10610076, 8914586, 3157478, 5077573, 5453054]
667246;[10610076, 3157478, 7899682, 10322302, 5453054]
797895;[10610076, 3157478, 11671069, 8914586, 5721324]
841104;[5716145, 7965930, 6821850, 6550419, 4946293]
850365;[10610076, 3157478, 7899682, 9281148, 5453054]
1197815;[10610076, 3157478, 7899682, 6466185, 5453054]
1399297;[10610076, 10322302, 4586362, 6466185, 3157478]
1587743;[10610076, 3157478, 4586362, 6466185, 10322302]
1654723;[10610076, 10322302, 3157478, 4586362, 6466185]
1786009;[10610076, 8914586, 5077573, 11671069, 3157478]
1900973;[8914586, 5077573, 5403795, 9704180, 10610076]
1977590;[8914586, 10610076, 11671069, 9424669, 6174426]
2004496;[10610076, 3157478, 6466185, 5453054, 4586362]
2056115;[10610076, 8914586, 5077573, 11671069, 3157478]
2141158;[10610076, 3157478, 7899682, 9281148, 11671069]
2207088;[10610076, 3157478, 8914586, 11671069, 7899682]
2238971;[10610076, 3157478, 5453054, 3401052, 7899682]
2353125;[10610076, 3157478, 7899682, 9281148, 4228464]
2420553;[6772394, 8837107, 4293510, 8612305, 9832027]
2490778;[5716145, 7965930, 6550419, 6821850, 4946293]
2513926;[10610076, 3157478, 5453054, 8914586, 5077573]
2699127;[10610076, 10322302, 6772394, 5721324, 3157478]
2699805;[10610076, 3157478, 7899682, 10322302, 11671069]
2747146;[10610076, 3157478, 11671069, 7899682, 5721324]
3017256;[9704180, 8914586, 5403795, 11574569, 11446957]
3102161;[6821850, 7965930, 5716145, 6989390, 5882420]
3248292;[10610076, 3157478, 7899682, 5453054, 11671069]
3620736;[10610076, 3157478, 7899682, 10322302, 6466185]
4302290;[10610076, 3157478, 8914586, 9424669, 11671069]
4374622;[10610076, 3157478, 7899682, 9281148, 5453054]
102390;[10610076, 3157478, 11671069, 8914586, 9281148]
6159354;[10610076, 10322302, 3157478, 6772394, 4586362]
2207088;[10610076, 3157478, 5453054, 3401052, 6466185]
134545;[10610076, 3157478, 7899682, 5453054, 3401052]
4644898;[8914586, 10610076, 5077573, 5403795, 9704180]
5342079;[6821850, 7965930, 6772394, 8837107, 4293510]
5431916;[10610076, 3157478, 7899682, 10322302, 5453054]
5682116;[10610076, 3157478, 7899682, 10322302, 6466185]
5918924;[10610076, 9424669, 8914586, 3157478, 5721324]
6014936;[10610076, 3157478, 7899682, 9281148, 11671069]
6365094;[10610076, 8914586, 3157478, 5077573, 5453054]
6626981;[10610076, 3157478, 7899682, 6466185, 5453054]
6715824;[9704180, 8914586, 11574569, 5403795, 11446957]
6911829;[10610076, 3157478, 7899682, 6466185, 10322302]
7374173;[8914586, 10610076, 5077573, 11671069, 5403795]
7651263;[10610076, 3157478, 8914586, 11671069, 5077573]
7820878;[10610076, 3157478, 7899682, 9281148, 11671069]
8499112;[10610076, 8914586, 3157478, 11671069, 9281148]
797895;[10610076, 3157478, 11671069, 9281148, 7899682]
1301815;[10610076, 3157478, 7899682, 5453054, 3401052]
1663463;[10610076, 3157478, 11671069, 9281148, 7899682]
3102161;[10610076, 8914586, 9424669, 5077573, 2571676]
3861919;[8914586, 11446957, 9704180, 6821850, 9424669]
156982;[10610076, 3157478, 7899682, 10322302, 9281148]
185068;[10610076, 3157478, 7899682, 9281148, 11671069]
4644898;[10610076, 8914586, 11671069, 9424669, 5721324]
4660561;[10610076, 3157478, 7899682, 10322302, 9281148]
4680852;[10610076, 3157478, 11671069, 8914586, 5721324]
4717091;[10610076, 10322302, 4586362, 3157478, 6772394]
4733430;[10610076, 3157478, 7899682, 10322302, 6466185]
4857159;[10610076, 3157478, 7899682, 3401052, 6466185]
5342079;[10610076, 3157478, 7899682, 6466185, 10322302]
5451546;[10610076, 3157478, 5453054, 6466185, 7899682]
5537142;[8914586, 9424669, 11446957, 5403795, 9704180]
5540686;[10610076, 7899682, 3157478, 10322302, 6466185]
5548401;[10610076, 3157478, 7899682, 9281148, 5453054]
5682116;[10610076, 3157478, 7899682, 6466185, 10322302]
5986736;[5716145, 7965930, 6550419, 6821850, 4946293]
6159354;[10610076, 8914586, 11671069, 6174426, 9424669]
6293544;[10610076, 3157478, 7899682, 10322302, 9281148]
6357405;[10610076, 3157478, 7899682, 9281148, 11671069]
6484170;[10610076, 3157478, 7899682, 10322302, 5453054]
6852914;[10610076, 3157478, 7899682, 10322302, 6466185]
6855546;[10610076, 10322302, 6772394, 4586362, 3157478]
6960859;[10610076, 3157478, 8914586, 5453054, 5077573]
7445622;[10610076, 10322302, 4586362, 6466185, 6772394]
7521550;[10610076, 3157478, 7899682, 9281148, 10322302]
7651263;[6821850, 7965930, 5716145, 6550419, 4946293]
8079880;[10610076, 8914586, 11671069, 5077573, 9424669]
8662485;[10610076, 3157478, 7899682, 9281148, 5453054]
667246;[10610076, 3157478, 7899682, 10322302, 9281148]
676112;[10610076, 3157478, 7899682, 6466185, 4536005]
797895;[10610076, 3157478, 10322302, 11671069, 5721324]
849244;[8914586, 10610076, 9424669, 5077573, 11671069]
866150;[6772394, 8837107, 4586362, 9424669, 9832027]
1009447;[10610076, 3157478, 7899682, 6466185, 4586362]
1570528;[10610076, 3157478, 10322302, 5721324, 11671069]
1582883;[6772394, 10322302, 4586362, 3323816, 8837107]
1638611;[10610076, 6466185, 4586362, 3157478, 10322302]
1663463;[6821850, 6772394, 8837107, 4293510, 8612305]
1707053;[10610076, 3157478, 11671069, 7899682, 9281148]
1716755;[10610076, 8914586, 11671069, 9424669, 5077573]
1726366;[10610076, 3157478, 7899682, 10322302, 6466185]
1727251;[6772394, 8837107, 4293510, 8612305, 6821850]
1867834;[10610076, 3157478, 7899682, 10322302, 6466185]
1890235;[10610076, 3157478, 7899682, 6466185, 5453054]
1900973;[10610076, 8914586, 3157478, 11671069, 5077573]
1968974;[10610076, 6772394, 5721324, 10322302, 9424669]
2043604;[10610076, 3157478, 6466185, 3401052, 7899682]
2056115;[6772394, 8837107, 9832027, 4293510, 8612305]
2071557;[10610076, 3157478, 5453054, 3401052, 7899682]
2313978;[10610076, 3157478, 5453054, 6466185, 3401052]
2353125;[6772394, 8837107, 4293510, 6821850, 8612305]
2490778;[8914586, 10610076, 5077573, 11671069, 9424669]
2513926;[10610076, 3157478, 10322302, 7899682, 6466185]
2665609;[10610076, 3157478, 7899682, 10322302, 6466185]
2699805;[10610076, 3157478, 8914586, 5077573, 11671069]
3102161;[10610076, 3157478, 11671069, 8914586, 7899682]
3230503;[10610076, 11671069, 8914586, 6174426, 3157478]
