user_id;rec_stories
4767346;[10991501, 6045275, 8257400, 7502401, 12058516]
5695337;[10506441, 10991501, 6045275, 4230389, 12058516]
5778823;[4230389, 7502401, 6045275, 2724972, 5358187]
6861153;[2724972, 2741470, 6045275, 4230389, 4842696]
8816804;[6045275, 6458809, 5358187, 9750991, 10506441]
1568093;[6045275, 5358187, 6458809, 2724972, 8509020]
1656852;[10506441, 3401052, 12058516, 10991501, 5453054]
1912243;[6045275, 6029161, 5358187, 2724972, 6458809]
1945346;[2905557, 6458809, 6045275, 7832676, 5358187]
2165651;[10506441, 4230389, 2905557, 10991501, 6045275]
2216419;[5358187, 4230389, 6045275, 2905557, 7502401]
2699311;[12058516, 10991501, 6486690, 8823783, 5358187]
2938253;[10506441, 10991501, 12058516, 6045275, 6458809]
3446643;[4230389, 2905557, 2724972, 4819806, 9973394]
4019838;[6045275, 10506441, 12058516, 5358187, 11916243]
102390;[10506441, 6045275, 6458809, 3693052, 10991501]
4677085;[3401052, 10991501, 12058516, 4302068, 6892925]
4724487;[10991501, 4230389, 3401052, 4302068, 9860311]
4728832;[3401052, 3157478, 8670912, 979216, 9369875]
5031561;[10991501, 3401052, 5453054, 6892925, 9860311]
5046181;[10991501, 7502401, 6045275, 12058516, 11916243]
5682116;[10506441, 10991501, 12058516, 6754695, 3401052]
5746815;[3401052, 10991501, 10399961, 12058516, 4302068]
6069390;[10506441, 3157478, 8670912, 11825585, 3693052]
6159354;[2905557, 10991501, 8257400, 10506441, 8745066]
6717323;[10991501, 6892925, 5453054, 8257400, 12058516]
8169752;[10506441, 12058516, 6029161, 10991501, 6045275]
8351371;[3157478, 2318355, 12058516, 8337400, 2690076]
788336;[3401052, 10506441, 10991501, 3157478, 979216]
1654723;[10991501, 4230389, 6045275, 2724972, 8257400]
1730150;[3401052, 10991501, 8975202, 12058516, 5453054]
1757105;[5453054, 3401052, 9860311, 3157478, 10991501]
2619159;[10991501, 4230389, 12058516, 10506441, 5358187]
4000634;[3401052, 10991501, 9860311, 6754695, 12058516]
6951976;[10506441, 10991501, 6045275, 5358187, 6754695]
573249;[10991501, 10506441, 6045275, 2905557, 5358187]
1899359;[10506441, 6045275, 3693052, 11825585, 12058516]
4337657;[10506441, 2905557, 8232212, 8745066, 9973394]
102390;[10506441, 3693052, 9750991, 11360264, 5453054]
134545;[2636963, 6797418, 6307582, 5319052, 7659651]
4534898;[10991501, 12058516, 8257400, 6045275, 10399961]
5260429;[6045275, 10506441, 6029161, 7832676, 6458809]
5342079;[2905557, 10506441, 6045275, 6147206, 10991501]
5537142;[5358187, 6754695, 10506441, 10399961, 12058516]
6062052;[10506441, 6458809, 3693052, 8232212, 11825585]
6159354;[8257400, 2905557, 8232212, 10506441, 6029161]
6345170;[2905557, 2741470, 6045275, 6256924, 6029161]
6626981;[2905557, 6045275, 8232212, 12058516, 7565325]
6852914;[2905557, 6045275, 8232212, 2741470, 8745066]
6855546;[10991501, 10506441, 6045275, 12058516, 6754695]
7521550;[3693052, 6458809, 10506441, 2905557, 6045275]
7616911;[10506441, 10399961, 5453054, 10991501, 12058516]
7651263;[5062719, 2905557, 10506441, 6754695, 10010184]
8154465;[10991501, 6754695, 10399961, 12058516, 10506441]
8499112;[2905557, 6029161, 6045275, 5358187, 2741470]
8662366;[2905557, 4819806, 6045275, 6754695, 5358187]
531920;[2724972, 6458809, 6029161, 9973394, 4230389]
797895;[2905557, 5062719, 6045275, 10010184, 1297222]
841104;[10991501, 2905557, 10506441, 8257400, 6045275]
967713;[6045275, 2905557, 10506441, 5062719, 8232212]
1009447;[10506441, 5062719, 6045275, 2905557, 9750991]
